"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 28 15:36:28 GMT 2023","Sat Jan 28 15:36:34 GMT 2023","5718","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 15:36:06 GMT 2023","Sat Jan 28 15:36:06 GMT 2023","429","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 15:36:16 GMT 2023","Sat Jan 28 15:36:20 GMT 2023","3577","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 15:36:06 GMT 2023","Sat Jan 28 15:36:07 GMT 2023","489","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 15:35:51 GMT 2023","Sat Jan 28 15:35:58 GMT 2023","6835","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 15:36:06 GMT 2023","Sat Jan 28 15:36:06 GMT 2023","523","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 15:36:05 GMT 2023","Sat Jan 28 15:36:06 GMT 2023","176","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
"passed","Sat Jan 28 15:37:07 GMT 2023","Sat Jan 28 15:37:08 GMT 2023","1337","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта UZS на сайте WB это Узбекский сум",""
"failed","Sat Jan 28 15:36:22 GMT 2023","Sat Jan 28 15:36:28 GMT 2023","5643","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Sat Jan 28 15:37:01 GMT 2023","Sat Jan 28 15:37:02 GMT 2023","1384","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта RUB на сайте WB это Российский рубль",""
"passed","Sat Jan 28 15:35:40 GMT 2023","Sat Jan 28 15:35:51 GMT 2023","10916","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"failed","Sat Jan 28 15:36:34 GMT 2023","Sat Jan 28 15:36:52 GMT 2023","18030","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для кошек мираторг для взрослых 10 кг на сайте WB нашлось 103 товаров",""
"passed","Sat Jan 28 15:35:58 GMT 2023","Sat Jan 28 15:36:05 GMT 2023","7499","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"failed","Sat Jan 28 15:36:52 GMT 2023","Sat Jan 28 15:37:00 GMT 2023","8764","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для собак мираторг для взрослых 10 кг на сайте WB нашлось 76 товаров",""
"passed","Sat Jan 28 15:36:20 GMT 2023","Sat Jan 28 15:36:22 GMT 2023","2388","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 15:36:07 GMT 2023","Sat Jan 28 15:36:09 GMT 2023","2059","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 15:37:05 GMT 2023","Sat Jan 28 15:37:06 GMT 2023","1339","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта AMD на сайте WB это Армянский драм",""
"passed","Sat Jan 28 15:37:03 GMT 2023","Sat Jan 28 15:37:05 GMT 2023","1290","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KZT на сайте WB это Казахстанский тенге",""
"passed","Sat Jan 28 15:36:13 GMT 2023","Sat Jan 28 15:36:16 GMT 2023","3028","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 15:36:34 GMT 2023","Sat Jan 28 15:36:34 GMT 2023","27","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"passed","Sat Jan 28 15:36:09 GMT 2023","Sat Jan 28 15:36:13 GMT 2023","4080","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 15:37:06 GMT 2023","Sat Jan 28 15:37:07 GMT 2023","1276","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KGS на сайте WB это Киргизский сом",""
"passed","Sat Jan 28 15:37:02 GMT 2023","Sat Jan 28 15:37:03 GMT 2023","1325","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта BYN на сайте WB это Белорусский рубль",""
